FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
CL,8594159530287,1406-2,"Micelle HD Casein 1,6 Kg",Amix Nutrition,Proteína,"48,16",1,"48,16",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, AMIX, AMIXPRO, Ganar músculo, Glutamina, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Secuencial, Secuencial/caseína, Sin carbohidratos, Sin gluten"
CL,858382002477,1065-1,PM8 Micellar Casein 1.8 Kg Fresa,Starlabs,Proteína,"41,61",3,"124,83",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,2,"0-3gr, 1.01 kg - 2.50 kg, 10IVA, 5-9gr, 80-84gr, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Secuencial, Secuencial/caseína"
CL,8435699400251,2629-1,Bcaa 2.1.1 500 Gr Naranja,Quamtrax,Aminoácidos,"12,30",1,"12,30",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,"VIENE CADUCADO, SOFIA","+relevantes, 10IVA, AMAZON.AUMENTO.1.99, Aminoácidos, Bcaa, Destacados, Endurance, Ganar músculo, LOWCOST, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
CL,8436578544394,1907-2,Sport Live BCAA´S 8:1:1 + Glutamina Kyowa 275 Gr Sandía,Drasanvi,Aminoácidos,"14,25",1,"14,25",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,"VIENE CADUCADO, SOFIA","10IVA, Aminoácidos, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
CL,8594060002088,2647,Osteo Anagenesis 30 Caps,Amix Nutrition,Articulaciones,"0,00",1,"0,00",30/06/2025,jun-2025,-305,REGALO CADUCADO,VINO CADUCADO DE LR ,"10IVA, AMIX, Articulaciones, Boswellia, Condroitina, Glucosamina, MSM, Salud, Salud y Bienestar"
CL,8594159533660,1232,Lipidrol Fat Burner 120 Caps,Amix Nutrition,Control y Pérdida de peso,"14,05",1,"14,05",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, AMIX, AMIXPRO, Colina, Control de peso, Cápsulas, Depuradores, Diuréticos, Inhibidores del apetito, Inositol, Lipotrópicos / Sin estimulantes, Perder peso, Termogénicos, Vitamina B12, Vitamina B6"
3C,8436540531490,1470-3,"Monstrous Gainer 1,5 Kg Galleta",Vitobest,Carbos / Subidores,"9,16",1,"9,16",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,
3C,8435699400251,2629-1,Bcaa 2.1.1 500 Gr Naranja,Quamtrax,Aminoácidos,"12,30",1,"12,30",30/06/2025,jun-2025,-305,CADUCADO,,
3C,8436540537515,618-2,Harina de avena 1 Kg Sabores Vitobest Vainilla,Vitobest,Avena / Arroz,"4,00",1,"4,00",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,
3C,3700112016513,1550,Café Puro Arábica Molido Stretto Italiano 250 Gr,Destination,Comida Fitness,"4,64",1,"4,64",30/06/2025,jun-2025,-305,REGALO CADUCADO,,
3C,8594060002088,2647,Osteo Anagenesis 30 Caps,Amix Nutrition,Articulaciones,"0,00",1,"0,00",30/06/2025,jun-2025,-305,REGALO CADUCADO,,
CL,8594159535312,28-4,"Carbojet Mass 1,8 Kg Fresa - Plátano",Amix Nutrition,Carbos / Subidores,"21,14",1,"21,14",30/06/2025,jun-2025,-305,CADUCADO,VINO CADUCADO DE LR ,
CL,8436601101532,2708-1,Sport Live BCAA´S 8:1:1 + Glutamina 275 Gr,Drasanvi,Aminoácidos,"10,23",1,"10,23",30/06/2025,jun-2025,-305,VENDIDO,VINO CADUCADO DE LR ,
CL,8436574337280,2629-2,Bcaa 2.1.1 500 Gr Naranja,Quamtrax,Aminoácidos,"12,30",1,"12,30",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,VINO CADUCADO DE LR ,
LR,8413412209374,563-9,Salsas Servivita 320 Ml Chocolate Blanco,Servivita,Comida Fitness,"1,71",3,"5,13",30/06/2025,jun-2025,-305,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
LR,8413412209671,563-21,Salsas Servivita 320 Ml Pancake,Servivita,Comida Fitness,"1,71",1,"1,71",30/06/2025,jun-2025,-305,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
LR,8437014456196,1649-5,"Instant Oatmeal 1,9 Kg Chocolate Blanco - Fresa",Perfect Nutrition,Avena / Arroz,"6,88",1,"6,88",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"+vistos, 0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.2.99, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
LR,8425252159443,1054-6,"Oatmeal-Harina de Avena Top Flavors 1,5 Kg Turrón Crujiente Chocolate Blanco",Max Protein,Avena / Arroz,"6,49",1,"6,49",30/06/2025,jun-2025,-305,VENDIDO,,"0-20gr, 1.01 kg - 2 kg, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Destacados, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
LR,8436578544554,1775,Sport Live Vitamina D3 90 Tab,Drasanvi,Vitaminas & Minerales,"5,23",2,"10,46",30/06/2025,jun-2025,-305,REGALO CADUCADO,,"10IVA, Articulaciones, Cosmética, Endurance, Más Energía, Salud, Salud y Bienestar, Vitamina D, Vitaminas"
LR,728633102525,278-1,Chromium Picolinate 100 Tab.,Scitec Nutrition,Vitaminas & Minerales,"4,06",2,"8,12",30/06/2025,jun-2025,-305,REGALO CADUCADO,aNGEL 1,#N/A
LR,8436594153839,2119,Harpagofito BIO 45 Caps,Vitobest,Articulaciones,"7,07",2,"14,15",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Articulaciones, Cápsulas, Harpagofito, Salud, Salud y Bienestar, Sistema digestivo"
LR,8594159534636,407-1,Diuretic Complex 90 Caps,Amix Nutrition,Salud y Bienestar,"15,95",4,"63,80",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,Angel 1,"10IVA, AMIX, Control de peso, Cápsulas, Depuradores, Diente de león, Diuréticos, Extracto diente de león, Guaraná, Ortiga, Perder peso, Perejil, Salud, Té verde, Uva ursi"
LR,767501485483,64-1,L-Carnitine 3000 20 viales x 10 ml,Bigman,Control y Pérdida de peso,"10,32",3,"30,96",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Carnitina, Colina, Control de peso, Inositol, Lipotrópicos / Sin estimulantes, Líquido, Perder peso"
LR,8436551611471,2025-3,Moonstruck II Glow 494 Gr Tropical Blue,Zoomad Labs,Preentreno / Precursores,"26,07",1,"26,07",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Energizantes, Más Energía, Pimienta negra, Pre-Entrenos"
