FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
3C,8594060004341,1346-3,Exclusive Protein Bar 85 Gr 1 Ud Chocolate con leche - Plátano,Amix Nutrition,Barritas & Snacks,"1,34",10,"13,40",30/04/2026,abr-2026,-1,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
3C,8594060004341,1346-3,Exclusive Protein Bar 85 Gr 1 Ud Chocolate con leche - Plátano,Amix Nutrition,Barritas & Snacks,"1,34",12,"16,08",30/04/2026,abr-2026,-1,VENDIDO,hay 1ud,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
3C,8594060005560,930-2,Zero Hero 31% Protein Bar 65 Gr 1 Ud Crema de Cacahuete,Amix Nutrition,Barritas & Snacks,"1,16",150,"174,00",30/04/2026,abr-2026,-1,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Fit Food, Keto"
3C,8594060005553,930-5,Zero Hero 31% Protein Bar 65 Gr 1 Ud Chocolate - Coco,Amix Nutrition,Barritas & Snacks,"1,16",15,"17,40",30/04/2026,abr-2026,-1,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas y Snacks, Comida Saludable, Fit Food, Keto"
3C,8436540534613,1320-3,GFS Aminos 500 Gr Limón,Vitobest,Aminoácidos,"21,65",1,"21,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,8436574980431,1247-3,G2T Go2Train PRO 280 Gr Limón,Starlabs,Preentreno / Precursores,"14,03",1,"14,03",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Cafeína, Calcio, Con estimulantes, Contiene Creatina, Energizantes, Inosina, Magnesio, Más Energía, Potasio, Pre-Entrenos, PRODUCTOCL, Rhodiola rosea, Sodio, Taurina, Tirosina, Vitamina B12, Vitamina B6, Vitamina D"
3C,857401005413,1094-6,XT5 Refuel 360 Gr Lima - Limón,Starlabs,Aminoácidos,"15,10",2,"30,20",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
3C,8436578410842,1552-5,Iso Zero 500 Gr Capuchino,WheyLand,Proteína,"15,68",1,"15,68",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8437014456134,1202-1,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Chocolate,Perfect Nutrition,Comida Fitness,"7,98",4,"31,92",30/04/2026,abr-2026,-1,MOSTRADOR,vendida 1,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Salsas cremas y siropes, Sin gluten"
3C,631656256369,1717-1,"Nitrotech 100% Whey Gold 2,27 Kg Chocolate",Muscletech,Proteína,"55,76",1,"55,76",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 65-80gr, AMAZON.EXLUIDO.NOVENDER, AMERICANA, Combinada, DECATHLON.AUMENTO.4.99, Ganar músculo, Mixta (iso/concentrado), Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,5601607078642,2664-1,Fast recovery Monodosis 80 Gr Wild Berries,Gold Nutrition,Carbos / Subidores,"1,87",4,"7,48",30/04/2026,abr-2026,-1,REGALO CADUCADO,,"0 kg - 1 kg, 10IVA, < 3 kg, AMAZON.AUMENTO.3.99, Añadido extra de aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Cromo, DECATHLON.AUMENTO.3.99, Dextrosa, Endurance, Ganar músculo, Ginko Biloba, Glutamina y Bcaa, KUANTOKUSTA.AUMENTO.1.99, Magnesio, Maltodextrina, Más Energía, R-Ala, Recuperación, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
CL,5601607078642,2664-1,Fast recovery Monodosis 80 Gr Wild Berries,Gold Nutrition,Carbos / Subidores,"1,87",4,"7,48",30/04/2026,abr-2026,-1,VENDIDO,3,"0 kg - 1 kg, 10IVA, < 3 kg, AMAZON.AUMENTO.3.99, Añadido extra de aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Cromo, DECATHLON.AUMENTO.3.99, Dextrosa, Endurance, Ganar músculo, Ginko Biloba, Glutamina y Bcaa, KUANTOKUSTA.AUMENTO.1.99, Magnesio, Maltodextrina, Más Energía, R-Ala, Recuperación, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
LR,5601607078642,2664-1,Fast recovery Monodosis 80 Gr Wild Berries,Gold Nutrition,Carbos / Subidores,"1,87",4,"7,48",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, < 3 kg, AMAZON.AUMENTO.3.99, Añadido extra de aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Cromo, DECATHLON.AUMENTO.3.99, Dextrosa, Endurance, Ganar músculo, Ginko Biloba, Glutamina y Bcaa, KUANTOKUSTA.AUMENTO.1.99, Magnesio, Maltodextrina, Más Energía, R-Ala, Recuperación, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
3C,8436578411252,1517-11,Whey 100 2 Kg Cookie Toffee,WheyLand,Proteína,"40,70",1,"40,70",30/04/2026,abr-2026,-1,VENDIDO,,"+relevantes, 1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, 76-80gr, Combinada, Concentrada, Enzimas digestivas, Ganar músculo, LOWCOST, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vitaminas / minerales"
LR,8425252159580,2089-2,Nitrospeed 350 Gr Candy Raspberry,BIG,Preentreno / Precursores,"19,58",1,"19,58",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Selenio, Taurina, Vitamina B12, Vitamina B3, Vitamina B6, Vitamina C"
3C,8436540534613,1320-3,GFS Aminos 500 Gr Limón,Vitobest,Aminoácidos,"21,65",1,"21,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
CL,8436540534613,1320-3,GFS Aminos 500 Gr Limón,Vitobest,Aminoácidos,"21,65",1,"21,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
LR,8436540534613,1320-3,GFS Aminos 500 Gr Limón,Vitobest,Aminoácidos,"21,65",1,"21,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
AL,8425252159627,2089-3,Nitrospeed 350 Gr Piruleta,BIG,Preentreno / Precursores,"19,58",1,"19,58",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Selenio, Taurina, Vitamina B12, Vitamina B3, Vitamina B6, Vitamina C"
AL,8425252111151,2089-1,Nitrospeed 350 Gr Pump,BIG,Preentreno / Precursores,"19,58",1,"19,58",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Selenio, Taurina, Vitamina B12, Vitamina B3, Vitamina B6, Vitamina C"
AL,8594046798844,1719-3,CellUP oxystorm powder 348 Gr Frutas,Amix Nutrition,Preentreno / Precursores,"20,96",1,"20,96",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, AMIX, AMIXPRO, Arginina, Beta alanina, Cafeína, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Taurina, Vitamina B6, Vitamina C"
3C,8594046796475,1719-1,CellUP oxystorm powder 348 Gr Piruleta,Amix Nutrition,Preentreno / Precursores,"20,96",1,"20,96",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, AMIX, AMIXPRO, Arginina, Beta alanina, Cafeína, Con estimulantes, Energizantes, Más Energía, Pre-Entrenos, Taurina, Vitamina B6, Vitamina C"
3C,8436567354966,2155-3,Box Race Day Bar Bcaas 6 X 40 Gr Manzana Canela,226ERS,Barritas & Snacks,"7,81",1,"7,81",30/04/2026,abr-2026,-1,MOSTRADOR,,"10IVA, Añadido extra de aminoácidos, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, Más Energía, Vitamina B1, Vitamina B12, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina C, Vitamina E, Ácido Fólico"
CL,8436567354966,2155-3,Box Race Day Bar Bcaas 6 X 40 Gr Manzana Canela,226ERS,Barritas & Snacks,"7,81",1,"7,81",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Añadido extra de aminoácidos, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, Más Energía, Vitamina B1, Vitamina B12, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina C, Vitamina E, Ácido Fólico"
LR,8436567354966,2155-3,Box Race Day Bar Bcaas 6 X 40 Gr Manzana Canela,226ERS,Barritas & Snacks,"7,81",1,"7,81",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Añadido extra de aminoácidos, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, Más Energía, Vitamina B1, Vitamina B12, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina C, Vitamina E, Ácido Fólico"
3C,8413377510232,1837-3,Pre-Workout 280 Gr Watermelon,Protella,Preentreno / Precursores,"11,46",1,"11,46",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, Energizantes, Más Energía, Polvo, Pre-Entrenos, Taurina, Tirosina"
CL,8413377510232,1837-3,Pre-Workout 280 Gr Watermelon,Protella,Preentreno / Precursores,"11,46",1,"11,46",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, Energizantes, Más Energía, Polvo, Pre-Entrenos, Taurina, Tirosina"
CL,8415687934388,1837-2,Pre-Workout 280 Gr Energy Drink,Protella,Preentreno / Precursores,"11,46",1,"11,46",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, Energizantes, Más Energía, Polvo, Pre-Entrenos, Taurina, Tirosina"
LR,8415687934388,1837-2,Pre-Workout 280 Gr Energy Drink,Protella,Preentreno / Precursores,"11,46",2,"22,92",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Arginina, Beta alanina, Cafeína, Citrulina, Con estimulantes, Contiene Creatina, Energizantes, Más Energía, Polvo, Pre-Entrenos, Taurina, Tirosina"
AL,8436574980431,1247-3,G2T Go2Train PRO 280 Gr Limón,Starlabs,Preentreno / Precursores,"14,03",2,"28,06",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Cafeína, Calcio, Con estimulantes, Contiene Creatina, Energizantes, Inosina, Magnesio, Más Energía, Potasio, Pre-Entrenos, PRODUCTOCL, Rhodiola rosea, Sodio, Taurina, Tirosina, Vitamina B12, Vitamina B6, Vitamina D"
3C,8436574980431,1247-3,G2T Go2Train PRO 280 Gr Limón,Starlabs,Preentreno / Precursores,"14,03",1,"14,03",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Arginina, Cafeína, Calcio, Con estimulantes, Contiene Creatina, Energizantes, Inosina, Magnesio, Más Energía, Potasio, Pre-Entrenos, PRODUCTOCL, Rhodiola rosea, Sodio, Taurina, Tirosina, Vitamina B12, Vitamina B6, Vitamina D"
AL,8436540530974,2135-1,Cellbest 3 lb Fresa,Vitobest,Carbos / Subidores,"15,89",1,"15,89",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 10IVA, < 3 kg, Añadido extra de aminoácidos, Beta alanina, Calcio, Carbohidratos, Ciclodextrina, Cobre, Con carbohidratos, Con estimulantes, Contiene Creatina, Cromo, Endurance, Energizantes, Ganar músculo, Hierro, Magnesio, Maltodextrina, Manganeso, MSM, Más Energía, Polvo, R-Ala, Recuperación, Salud, Salud y Bienestar, Sodio, Taurina, Vitamina B6, Vitamina C, Vitaminas / minerales, Yodo, Zinc"
CL,8436540530974,2135-1,Cellbest 3 lb Fresa,Vitobest,Carbos / Subidores,"15,89",1,"15,89",30/04/2026,abr-2026,-1,VENDIDO,,"+vistos, 0 kg - 1 kg, 10IVA, < 3 kg, Añadido extra de aminoácidos, Beta alanina, Calcio, Carbohidratos, Ciclodextrina, Cobre, Con carbohidratos, Con estimulantes, Contiene Creatina, Cromo, Endurance, Energizantes, Ganar músculo, Hierro, Magnesio, Maltodextrina, Manganeso, MSM, Más Energía, Polvo, R-Ala, Recuperación, Salud, Salud y Bienestar, Sodio, Taurina, Vitamina B6, Vitamina C, Vitaminas / minerales, Yodo, Zinc"
3C,8436540530974,2135-1,Cellbest 3 lb Fresa,Vitobest,Carbos / Subidores,"15,89",1,"15,89",30/04/2026,abr-2026,-1,VIGENTE,,"+vistos, 0 kg - 1 kg, 10IVA, < 3 kg, Añadido extra de aminoácidos, Beta alanina, Calcio, Carbohidratos, Ciclodextrina, Cobre, Con carbohidratos, Con estimulantes, Contiene Creatina, Cromo, Endurance, Energizantes, Ganar músculo, Hierro, Magnesio, Maltodextrina, Manganeso, MSM, Más Energía, Polvo, R-Ala, Recuperación, Salud, Salud y Bienestar, Sodio, Taurina, Vitamina B6, Vitamina C, Vitaminas / minerales, Yodo, Zinc"
CL,5601607076563,1494-3,Fast recovery 600 Gr Piña Colada,Gold Nutrition,Carbos / Subidores,"12,15",1,"12,15",30/04/2026,abr-2026,-1,VENDIDO,,"0 kg - 1 kg, 10IVA, < 3 kg, AMAZON.AUMENTO.3.99, Añadido extra de aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Cromo, DECATHLON.AUMENTO.3.99, Dextrosa, Endurance, Ganar músculo, Ginko Biloba, Glutamina y Bcaa, KUANTOKUSTA.AUMENTO.1.99, Magnesio, Maltodextrina, Más Energía, R-Ala, Recuperación, Vitamina A, Vitamina B1, Vitamina B12, Vitamina B2, Vitamina B3, Vitamina B5, Vitamina B6, Vitamina B7, Vitamina B9, Vitamina C, Vitamina E, Vitaminas / minerales, Zinc"
AL,857401005413,1094-6,XT5 Refuel 360 Gr Lima - Limón,Starlabs,Aminoácidos,"15,10",3,"45,30",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
3C,8594159537460,1251-1,Re-Core Concentrate 540 Gr Frutas,Amix Nutrition,Aminoácidos,"26,65",1,"26,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, AMIX, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, MUSCLECORE, Perder peso, Polvo, PRODUCTO3C, Recuperación, Salud y Bienestar, Sin carbohidratos"
CL,8594159537460,1251-1,Re-Core Concentrate 540 Gr Frutas,Amix Nutrition,Aminoácidos,"26,65",1,"26,65",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, AMIX, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, MUSCLECORE, Perder peso, Polvo, PRODUCTO3C, Recuperación, Salud y Bienestar, Sin carbohidratos"
LR,8594159533660,1232,Lipidrol Fat Burner 120 Caps,Amix Nutrition,Control y Pérdida de peso,"14,05",1,"14,05",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, AMIX, AMIXPRO, Colina, Control de peso, Cápsulas, Depuradores, Diuréticos, Inhibidores del apetito, Inositol, Lipotrópicos / Sin estimulantes, Perder peso, Termogénicos, Vitamina B12, Vitamina B6"
CL,8436044514388,1802,Silicio Orgánico 1 L,Drasanvi,Vitaminas & Minerales,"21,86",1,"21,86",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Minerales, Salud, Salud y Bienestar, Silicio, Vitaminas"
LR,8436044514388,1802,Silicio Orgánico 1 L,Drasanvi,Vitaminas & Minerales,"21,86",1,"21,86",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Minerales, Salud, Salud y Bienestar, Silicio, Vitaminas"
CL,8436044518348,1886,Sport Live Max Cla 90 Perlas,Drasanvi,Control y Pérdida de peso,"6,11",1,"6,11",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Bloqueadores, Cla, Control de peso, Lipotrópicos / Sin estimulantes, Perder peso, Perlas"
3C,8436594155314,1943,pH Total Control 60 Caps,Vitobest,Vitaminas & Minerales,"9,70",3,"29,09",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, AMAZON.AUMENTO.3.99, Espirulina, Magnesio, Minerales, Potasio, Salud, Salud y Bienestar, Sodio"
CL,8436594155314,1943,pH Total Control 60 Caps,Vitobest,Vitaminas & Minerales,"9,70",3,"29,09",30/04/2026,abr-2026,-1,VENDIDO,2,"10IVA, AMAZON.AUMENTO.3.99, Espirulina, Magnesio, Minerales, Potasio, Salud, Salud y Bienestar, Sodio"
LR,8436594155314,1943,pH Total Control 60 Caps,Vitobest,Vitaminas & Minerales,"9,70",2,"19,39",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, AMAZON.AUMENTO.3.99, Espirulina, Magnesio, Minerales, Potasio, Salud, Salud y Bienestar, Sodio"
AL,8436621084297,2436,Real Sns-Liquid Synephrine 15 Ml,BIG,Control y Pérdida de peso,"6,60",2,"13,20",30/04/2026,abr-2026,-1,VENDIDO,,#N/A
AL,8425252158156,921-1,Hmb 100 Tab,BIG,Aminoácidos,"9,24",6,"55,44",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, AMAZON.AUMENTO.3.99, Aminoácidos, Aminoácidos individuales, Comprimidos, Ganar músculo, Perder peso, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",2,"36,88",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
CL,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",2,"36,88",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
LR,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",2,"36,88",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
LR,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",1,"18,44",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
CL,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",2,"36,88",30/04/2026,abr-2026,-1,VENDIDO,1,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
CL,8594159535756,1293,D-aa Max Pure 100 Caps,Amix Nutrition,Prohormonales,"18,44",1,"18,44",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Acido aspártico, AMIX, Anabólicos naturales, Cápsulas, Estimulador testosterona, Ganar músculo, Multiacción / Complejos"
CL,5060245607018,1659-3,"Syntha-6 Edge 1,8 Kg Fresa",BSN,Proteína,"47,04",2,"94,08",30/04/2026,abr-2026,-1,VENDIDO,1,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 70-74gr, 9-15gr, AMAZON.AUMENTO.3.99, Combinada, Ganar músculo, Hidrolizada, Mixta (iso/concentrado), Polvo, Proteínas, Secuencial, Secuencial/caseína"
LR,5060245607018,1659-3,"Syntha-6 Edge 1,8 Kg Fresa",BSN,Proteína,"47,04",1,"47,04",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 70-74gr, 9-15gr, AMAZON.AUMENTO.3.99, Combinada, Ganar músculo, Hidrolizada, Mixta (iso/concentrado), Polvo, Proteínas, Secuencial, Secuencial/caseína"
3C,5060245607018,1659-3,"Syntha-6 Edge 1,8 Kg Fresa",BSN,Proteína,"47,04",1,"47,04",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 15-24gr, 70-74gr, 9-15gr, AMAZON.AUMENTO.3.99, Combinada, Ganar músculo, Hidrolizada, Mixta (iso/concentrado), Polvo, Proteínas, Secuencial, Secuencial/caseína"
AL,8594046790213,1895-2,Black CFM Isolate 2 Kg Bombón Crujiente,Amix Nutrition,Proteína,"56,74",1,"56,74",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594046790220,1895-3,Black CFM Isolate 2 Kg Fresa - Tarta de Queso,Amix Nutrition,Proteína,"56,74",1,"56,74",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8594046790237,1895-5,Black CFM Isolate 2 Kg Mango - Piña,Amix Nutrition,Proteína,"56,74",1,"56,74",30/04/2026,abr-2026,-1,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436578410965,1823-3,MAP Energy 345 Gr Mango,WheyLand,Aminoácidos,"12,85",1,"12,85",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
CL,8436578410965,1823-3,MAP Energy 345 Gr Mango,WheyLand,Aminoácidos,"12,85",1,"12,85",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
CL,8436578410972,1823-1,MAP Energy 345 Gr Sandía,WheyLand,Aminoácidos,"12,85",1,"12,85",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
LR,8425252162337,1240,Real CNS 15 Ml,BIG,Preentreno / Precursores,"5,50",1,"5,50",30/04/2026,abr-2026,-1,VIGENTE,,"10IVA, Cafeína, Con estimulantes, Energizantes, Lingual, Líquido, Más Energía, Pre-Entrenos, Salud, Salud y Bienestar"
CL,8425252162337,1240,Real CNS 15 Ml,BIG,Preentreno / Precursores,"5,50",1,"5,50",30/04/2026,abr-2026,-1,VENDIDO,,"10IVA, Cafeína, Con estimulantes, Energizantes, Lingual, Líquido, Más Energía, Pre-Entrenos, Salud, Salud y Bienestar"
3C,858382002361,1650-2,A70 Carbofuse 2 Kg Frambuesa,Starlabs,Carbos / Subidores,"18,71",1,"18,71",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
CL,858382002361,1650-2,A70 Carbofuse 2 Kg Frambuesa,Starlabs,Carbos / Subidores,"18,71",1,"18,71",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
LR,858382002361,1650-2,A70 Carbofuse 2 Kg Frambuesa,Starlabs,Carbos / Subidores,"18,71",1,"18,71",30/04/2026,abr-2026,-1,VIGENTE,,"1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
AL,843657491117,1650-1,A70 Carbofuse 2 Kg Melocotón,Starlabs,Carbos / Subidores,"18,71",1,"18,71",30/04/2026,abr-2026,-1,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
AL,8422584048919,1241,Bolitas Quinoa con Agave y Cacao Bio 300 Gr,El Granero,Comida Fitness,"4,23",6,"25,36",30/04/2026,abr-2026,-1,VENDIDO,,"0-20gr, 04IVA, 10IVA, 4-8gr, 65-80gr, Alimentos orgánicos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Masticable, Quinoa, Sin lactosa"
3C,8594046796215,2798-3,Tigger Crunchy Protein Bar 60 Gr Chocolate - Coco,Amix Nutrition,Barritas & Snacks,"1,20",39,"46,80",30/04/2026,abr-2026,-1,VENDIDO,Vendido y alguno regalado compras buenas,#N/A
CL,8594046793214,2798-3,Tigger Crunchy Protein Bar 60 Gr Triple Brownie,Amix Nutrition,Barritas & Snacks,"1,20",39,"46,80",30/04/2026,abr-2026,-1,VENDIDO,17,#N/A
